siteID,country,species,commonName,category
1,Portugal,Cereals,Cereals,Forbs
1,Portugal,Quercus suber,Cork Oak,Trees
1,Portugal,Cows,Cows,Animals
1,Portugal,Quercus ilex,Holm Oak,Trees
1,Portugal,Pigs,Pigs,Animals
1,Portugal,Castanea sativa,Sweet Chestnut,Trees
2,Portugal,Hordeum vulgare,Barley,Forbs
2,Portugal,Cattle,Cattle,Animals
2,Portugal,Quercus suber,Cork Oak,Trees
2,Portugal,Goats,Goats,Animals
2,Portugal,Quercus ilex,Holm Oak,Trees
2,Portugal,Horses,Horses,Animals
2,Portugal,Improved pastures,Improved pastures,Forbs
2,Portugal,Natural pastures,Natural pastures,Forbs
2,Portugal,Avena sativa,Oats,Forbs
2,Portugal,Pigs,Pigs,Animals
2,Portugal,Sheep,Sheep,Animals
2,Portugal,Sown pastures,Sown pastures,Forbs
2,Portugal,Pinus pinea,Stone Pine,Trees
2,Portugal,Helianthus annuus,Sunflower,Forbs
17,Switzerland,Triticum aestivum,Common Wheat,Forbs
3,UK,Ash,Ash,Trees
3,UK,Cattle,Cattle,Animals
3,UK,Deer,Deer,Animals
3,UK,Fagus sylvatica,European Beech,Trees
3,UK,Carpinus betulus,European Hornbeam,Trees
3,UK,Grass,Grass,Forbs
3,UK,Horses,Horses,Animals
3,UK,Quercus robur,Pedunculate Oak,Trees
3,UK,Quercus petraea,Sessile Oak,Trees
3,UK,Sheep,Sheep,Animals
4,Greece,Goats,Goats,Animals
4,Greece,Sheep,Sheep,Animals
4,Greece,Quercus ithaburensis,Tabor Oak,Trees
5,Germany,Medicago sativa,Alfalfa,Forbs
5,Germany,Hordeum vulgare,Barley,Forbs
5,Germany,Zea mays,Maize,Forbs
5,Germany,Populus spp.,Poplar,Trees
28,UK,Alnus spp.,Alder (general),Trees
5,Germany,Secale cereale,Rye,Forbs
5,Germany,x Triticosecale,Triticale,Forbs
23,Spain,Triticum aestivum,Common Wheat,Forbs
5,Germany,Salix spp.,Willow,Trees
6,Portugal,Laurus nobilis,Bay Laurel,Trees
7,UK,Alnus cordata,Italian Alder,Trees
6,Portugal,Ruscus aculeatus,Butcher's-broom,Trees
6,Portugal,Crataegus monogyna,Common Hawthorn,Trees
6,Portugal,Rosa canina,Dog Rose,Trees
6,Portugal,Ulmus procera,English Elm,Trees
6,Portugal,Fraxinus excelsior,European Ash,Trees
6,Portugal,Malus sylvestris,European Crab Apple,Trees
6,Portugal,Celtis australis,European Nettle Tree,Trees
6,Portugal,Ulmus minor,Field Elm,Trees
6,Portugal,Daphne gnidium,Flax-leaved Daphne,Trees
6,Portugal,Goats,Goats,Animals
6,Portugal,Quercus ilex,Holm Oak,Trees
6,Portugal,Improved pastures,Improved pastures,Forbs
6,Portugal,Acer monspessulanum,Montpellier Maple,Trees
6,Portugal,Fraxinus angustifolia,Narrow-leaved Ash,Trees
6,Portugal,Natural pastures,Natural pastures,Forbs
6,Portugal,Quercus pyrenaica,Pyrenean Oak,Trees
6,Portugal,Pyrus bourgaena,Pyrus bourgaena,Trees
6,Portugal,Sheep,Sheep,Animals
6,Portugal,Arbutus unedo,Strawberry Tree,Trees
6,Portugal,Pistacia terebinthus,Terebinth,Trees
6,Portugal,Salix alba,White Willow,Trees
7,UK,Malus domestica,Apple,Trees
7,UK,Hordeum vulgare,Barley,Forbs
7,UK,Beans,Beans,Forbs
7,UK,Trifolium spp.,Clover,Forbs
7,UK,Fraxinus excelsior,European Ash,Trees
7,UK,Carpinus betulus,European Hornbeam,Trees
69,UK,Alnus cordata,Italian Alder,Trees
7,UK,Avena sativa,Oats,Forbs
7,UK,Solanum tuberosum,Potatoes,Forbs
7,UK,Quercus petraea,Sessile Oak,Trees
7,UK,Tilia cordata,Small-leaved Lime,Trees
7,UK,Squashes,Squashes,Forbs
7,UK,Acer pseudoplatanus,Sycamore Maple,Trees
7,UK,Vegetables,Vegetables,Forbs
24,Portugal,Triticum aestivum,Common Wheat,Forbs
7,UK,Prunus avium,Wild Cherry,Trees
8,Switzerland,Cornus mas,Cornelian Cherry,Shrubs
8,Switzerland,Gourd,Gourd,Forbs
8,Switzerland,Peas,Peas,Forbs
8,Switzerland,Rhubarb,Rhubarb,Forbs
8,Switzerland,Rosa rugosa,Rugosa Rose,Shrubs
8,Switzerland,Hippophae spp.,Sea-buckthorn,Shrubs
8,Switzerland,Vegetables,Vegetables,Forbs
8,Switzerland,Prunus avium,Wild Cherry,Trees
9,France,Juglans nigra,Black Walnut,Trees
9,France,Triticum turgidum,Durum Wheat,Forbs
9,France,Pisum sativum,Pea,Forbs
9,France,Juglans regia,Persian Walnut,Trees
9,France,Populus spp.,Poplar,Trees
96,Belgium,Cormus domestica,Service Tree,Trees
10,UK,Malus domestica,Apple,Trees
10,UK,Grass,Grass,Forbs
10,UK,Sheep,Sheep,Animals
11,Italy,Asparagus spp.,Asparagus,Forbs
11,Italy,Chicken,Chicken,Animals
11,Italy,Grass,Grass,Forbs
11,Italy,Olea europaea,Olive,Trees
12,Greece,Hordeum vulgare,Barley,Forbs
12,Greece,Vicia sativa,Common Vetch,Forbs
12,Greece,Olea europaea,Olive,Trees
12,Greece,Sheep,Sheep,Animals
13,Greece,Aromatic plants,Aromatic plants,Forbs
13,Greece,Olea europaea,Olive,Trees
13,Greece,Pisum sativum,Pea,Forbs
13,Greece,Sheep,Sheep,Animals
37,Greece,Triticum aestivum,Common Wheat,Forbs
14,Spain,Juglans major,Arizona Walnut,Trees
14,Spain,Juglans nigra,Black Walnut,Trees
14,Spain,Herbaceous strata,Herbs,Forbs
14,Spain,Sheep,Sheep,Animals
15,Greece,Aromatic plants,Aromatic plants,Forbs
15,Greece,Chicken,Chicken,Animals
15,Greece,Phaseolus vulgaris,Common Bean,Forbs
15,Greece,Solanum tuberosum,Potatoes,Forbs
15,Greece,Citrus sinensis,Sweet Orange,Trees
55,France,Triticum aestivum,Common Wheat,Forbs
16,Portugal,Goats,Goats,Animals
16,Portugal,Natural pastures,Natural pastures,Forbs
16,Portugal,Sheep,Sheep,Animals
16,Portugal,Castanea sativa,Sweet Chestnut,Trees
17,Switzerland,Malus domestica,Apple,Trees
17,Switzerland,Flowers,Flowers,Forbs
17,Switzerland,Fragaria x ananassa,Garden Strawberry,Forbs
17,Switzerland,Brassica napus,Rapeseed,Forbs
65,France,Triticum aestivum,Common Wheat,Forbs
18,Switzerland,Populus tremula,European Aspen,Trees
18,Switzerland,Secale cereale,Rye,Forbs
19,UK,Malus domestica,Apple,Trees
19,UK,Hordeum vulgare,Barley,Forbs
19,UK,Salix viminalis,Common Osier,Trees
19,UK,Corylus avellana,European Hazel,Trees
19,UK,Avena sativa,Oats,Forbs
