"siteID","Sites","Description","Soil.characteristics","Products","Economic.interests","Other.services","Hypothetical.combinations","Link","lat","lon"
1,"","In Portugal, the main agroforestry system is a traditional system called Montado. It is characterized by low density trees combined with agriculture or pastoral activities. The main tree species encountered in the Montado are cork oak (Quercus suber L) and/or holm oak (Quercus rotundifolia L). Mixed stands with a combination of these species are also common. Cork oak based Montado areas are included in the Portuguese National Forest Inventory (NFI) as part of the cork oak and holm oak forest area, which occupies 736,775 ha and 331,179 ha respectively (AFN, 2010). There are substantial variations in the management of the understorey ranging from forest systems (cork in cork oak systems) to agrosilvopastoral systems (cork, sweet acorns, animal and/or crop production together). The majority of the Montado area is in the south-east of Portugal, although there are some areas in the north of the country.

Agroforestry also exists in North and Central Portugal in the form of natural pastures where trees are included as hedges, borders or riparian forest lines (collectively known as ""Lameiros""), and there are considered to be about 41400 ha of low density stands of sweet chestnut (Castanea sativa) called ""Soutos e castinçais"".","","","","","","Montado in Portugal - Agforward - en",NA,NA
2,"Southern Portugal","Oaks (Cork oak or holm oak) with a mixing trend with stone pine at low density (30-70 trees ha-1) and low crown cover percentage (30-50%), in order to combine cork production with agriculture or grazing (natural or improved pasture or sown biodiverse pastures).","Arenosols; leptosols; cambisols.","From trees: cork, firewood, acorns, fodder From undercover: crops, meat, milk, cheese, wool, honey, mushrooms","Around 18000 jobs related to the montado. Portugal is the first world cork producer (around 140.000 tons/year, 54% of the world production) and the cork industry represents around 3% of the national GDP.","Soil protection, tourism, hunting, carbon sequestration, water cycle regulation, biodiversity, fire prevention (shrub control), and organic Matter improvement.","Q. suber + cereal rotation (wheat-wheat-fallow). Q. suber + permanent natural pastures + (Cattle, sheep, goat, pig, turkey). Q. suber + permanent improved pastures + (Cattle, sheep, goat, pig, turkey). Q. suber + sown biodiverse pastures. Same combinations with Q. rotundifolia","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
3,"Throughout the UK","Wood pasture and parklands in the UK comprise open-grown (often pollarded) trees, grazing livestock, and typically an understory of grassland. The oldest wood pastures and parklands are valued for their veteran trees which have high landscape value as well as hosting a range of epiphytes and micro-organisms.","A range of soil types including cambisols and luvisols (including planosols)","From trees: firewood 
From undercover: meat ","UK conservation groups are particularly interested in the maintenance of wood 
pastures and parklands. ","Tourism and recreational opportunities, carbon sequestration, water cycle regulation, 
biodiversity, green space around cities.","","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
4,"Xeromero, prefecture of Aetoloakarnania, W. Greece 
Kea, Aegean island, Greece; Alexandroupoli, NE Greece; Rethimno, Crete ","Agroforestry and specifically silvopastoralism is a traditional land use system in 
Xeromero, Aetoloakarnania, Western Greece where livestock breeders use the valonia 
oak forest for grazing whilst collecting acorns from the oaks. In this way they ensured a 
steady and enhanced economic return each year irrespectively of weather conditions. 
The forest is characterized by the dominance of old valonia oak trees. The combined 
use of valonia oak forest and grazing is gradually being abandoned, sometimes being 
replaced with monocultures of olive groves.  ","Lithosols – Chromic Luvisols","From trees: firewood, acorns, fodder 
From understorey: meat, dairy, cheese, wool, honey, mushrooms ","","Soil protection, tourism, hunting, carbon sequestration, water cycle regulation, 
biodiversity, fire prevention (shrub control), and organic Matter improvement. ","Q.ithaburensis + permanent natural pastures + (sheep, goat) ","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
5,"North-eastern Germany","Windbreaks or shelterbelts consist of tall and narrow trees and shrubs. The trees are usually a combination of fast and slow growing trees. The windbreak has the function to prevent soil erosion. Windbreaks have the best protection when they are between 40 and 50% solid.","Luvisols, podzoluvisols, gleysols, cambisols, podzols","From trees: Wood products, biomass feedstocks 
From undercover: crops ","The crops can be used for a gasifier and the biomass for a combined heat and power plant","Soil protection, C-sequestration, water quality, biodiversity, soil fertility/Organic Matter","Populus spp. + cereal, maize, alfalfa rotation 
Salix spp. . + cereal, maize, alfalfa rotation ","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
6,"Mainly in north and interior regions of Portugal, associated with agricultural land  
Scattered occurrences in other regions of the country","Bordure tree include trees with a diverse of usages and special arranges: randomly or in hedges, borders and/or in riparian forests lines. These areas are frequently designated as Lameiros: areas with bordures trees associated to natural pastures or improved pastures for animal grazing. These trees, traditionally built for field demarcation, are important for local fire wood consumption, animal fodder, soil protection from water or wind erosion (Pereira et al. 2004), and pasture improvement (Pereira et al. 2005). These areas, although characterized by deep and fertile soils, have been suffering abandonment as grazing is reduced in these regions (INE 2014). In turn, the abandonment of grazing rapidly changes the composition of the herbaceous stratus composition, increasing the presence of species with low pasture interest (Amaro 2009). In addition, the trees are frequently removed thereby decreasing biodiversity. It is difficult to assess the area of such systems due the lack of official inventory data.","Depth: Deep soils 
Texture: medium  
Others: Prefers mesotrophic soils ","Biomass for fire wood and forage for animal","Forage for animal consumption especially in Summer period","Improve pastures quality, water regulation, soil erosion protection, biodiversity, landscape","","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
7,"England","Organic silvoarable systems with top fruit (apples, pears) and/or timber species, and arable crops (but sometimes vegetables) in the alleys. Alleys typically 10-12 m wide.","Variable","Trees: Top fruit (apples, pears, plums), timber. 
Agriculture: cereals, vegetables.","Currently very small both at a national scale and on a farm scale. Enterprise 
diversification is a key economic aim for the producers. ","Biodiversity support including for functional biodiversity such as pollinators and natural 
pest control; soil protection (wind erosion, soil fertility, soil structure); shelter for crops ","Mixed timber and apple with cereals (wheat, oats, barley). 
Mixed timber and apple with potatoes; Mixed timber and apple with legume ley. 
Apples and vegetables. ","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
8,"4313 Möhlin (north-western Switzerland)","The parcel is located in the canton of Aargau and is located on an organic farm (BioSuisse) with a total area of 16 hectares. On the agroforestry plot there are a total of 80 trees. The cherry trees (varieties Morina, Coraline and Agate) were planted in October 2009 and 2010. In the tree rows shrubs such as rosehip (Rosa rugosa), sea buckthorn (sanddorn; Hippophae sp.) and cornelian cherry (Cornus mas) are planted to produce wild berry juice. Various vegetables are the main intercrop. The farmer primarily focuses on the environmental performance of its agroforestry plot. An additional motivation for the planting of trees was the vulnerability of the area to erosion, which is why the tree rows were aligned accordingly. For planting the trees he has teamed up with the local environment and Bird Protection Society and BirdLife Switzerland. He also signed a long-term contract with the Canton on ecological direct payments.","Luvisol, silty loam with slight humus content, skeleton free; detailed soil profile available.","Various vegetables, berries, cherries","Vegetables, fruits and berries (direct marketing); direct payments for biodiversity","Landscape scenery, biodiversity, erosion control","","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",47.5592,7.8433
9,"Southern France – Hérault Department","Different tree species, planted in 1995, associated with cereal. Trees in row (13 m x 8 m). The main culture is winter durum wheat in rotation with winter protein pea. Sole crop and forestry controls are available. No block design, but large plots are compared. Tree growth and crop yield are monitored each year since the beginning. Besides the three main tree species (see below), many other tree species are included in an agroforestry arboretum (Prunus avium, Fraxinus angustifolia, Pyrus communis, Acer platanoides).","Silty deep alluvial calcareous fluvisol (25 % clay and 60 % silt). Presence of a water table within reach of the roots of the trees","From trees : timber wood when they are big enough (poplar harvested in 2015) 
From crop : grain and wheat straw ","Quality wood, growing faster than in a forestry system – High protein content wheat ","Tourism: public domain with many walkers, carbon sequestration, biodiversity 
improvement (i.e. bats and birds), hunting, water cycle regulation, fire prevention (shrub 
control), organic matter improvement. ","Hybrid walnut / cereals","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
10,"Herefordshire, England; Loughgall, Northern Ireland; UK","Cider apple (Malus domestica) trees grown in rows of up to c.600 trees/ha (bush orchards) or widely spaces tree arranged on a grid of up to","Cambisols, Luvisols (Herefordshire)","Apples for cider crop, sheep","Apples for cider crop, sheep, saving in mowing costs, additional expense of animal management","","","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
